time,disloc_density_0,disloc_density_1,disloc_density_10,disloc_density_11,disloc_density_2,disloc_density_3,disloc_density_4,disloc_density_5,disloc_density_6,disloc_density_7,disloc_density_8,disloc_density_9,disp_y,fp_yy,slip_increment_0,slip_increment_1,slip_increment_10,slip_increment_11,slip_increment_2,slip_increment_3,slip_increment_4,slip_increment_5,slip_increment_6,slip_increment_7,slip_increment_8,slip_increment_9,stress_vm,stress_yy,total_twin_volume_fraction
0.00036125,20964234.257159,20000000,20000000,20964234.342293,20964234.333237,20964234.334133,20000000,20964234.23227,20964234.348488,20000000,20964234.280722,20964234.283718,0.00010608476685286,1.014675494092,31.29779181965,0,0,-31.297611496371,-31.297611513088,-31.297612495089,0,-31.297613995163,-31.29761158294,0,-31.297615132902,31.297791775921,3078.5268445449,3078.5268451704,0
0.00037125,21022092.931929,20000000,20000000,21022092.955432,21022092.934889,21022093.029037,20000000,21022092.905865,21022092.972502,20000000,21022092.85154,21022092.920045,0.00010902136937795,1.0157102174524,31.191981867602,0,0,-31.191584104252,-31.191584685502,-31.191584043075,0,-31.191591101605,-31.191583321663,0,-31.191589118024,31.191980748158,3070.0314367524,3070.0314373701,0
0.00038125,21077037.220045,20000000,20000000,21077037.160243,21077037.157777,21077037.168977,20000000,21077037.222964,21077037.164983,20000000,21077037.21877,21077037.23281,0.00011195797190497,1.0167426223766,31.090373362631,0,0,-31.090191882743,-31.09019206431,-31.09018907012,0,-31.090194740988,-31.090190869447,0,-31.090192487511,31.090372399034,3061.9102054456,3061.9102060558,0
0.00039125,21129187.903002,20000000,20000000,21129187.807797,21129187.757886,21129187.770789,20000000,21129187.857356,21129187.83918,20000000,21129187.883797,21129187.88067,0.00011489457445003,1.0177728376741,30.993103930102,0,0,-30.992766809788,-30.992768538532,-30.99276875381,0,-30.992766488172,-30.992768910192,0,-30.992764981431,30.993102110134,3054.1419961829,3054.1419967863,0
0.00040125,21178654.343834,20000000,20000000,21178654.42477,21178654.36784,21178654.435226,20000000,21178654.426905,21178654.441037,20000000,21178654.466844,21178654.446643,0.00011783117701223,1.0188009840991,30.899738817553,0,0,-30.899206614917,-30.899210103553,-30.899210829877,0,-30.899203196843,-30.899206943206,0,-30.899201559275,30.899740094767,3046.7070328654,3046.7070334623,0
0.00041125,21225556.878528,20000000,20000000,21225557.000113,21225556.987612,21225556.971702,20000000,21225556.842334,21225557.001461,20000000,21225556.845465,21225556.85846,0.00012076777956821,1.0198271751714,30.809758273452,0,0,-30.809625404867,-30.809621623259,-30.80962180789,0,-30.809617245509,-30.809621923096,0,-30.80962017427,30.809751437949,3039.586793241,3039.5867938318,0
0.00042125,21269989.760813,20000000,20000000,21269989.932922,21269989.913601,21269989.93542,20000000,21269989.746477,21269989.953415,20000000,21269989.834292,21269989.817087,0.00012370438208897,1.0208515170362,30.723621328825,0,0,-30.723023846983,-30.723024591596,-30.723025046959,0,-30.723033658076,-30.723023388499,0,-30.723034424718,30.723620138996,3032.7639129456,3032.76391353,0
0.00043125,21312049.1194,20000000,20000000,21312049.121539,21312049.09674,21312049.149569,20000000,21312049.141402,21312049.142367,20000000,21312049.138008,21312049.054868,0.00012664098459844,1.0218741097789,30.640524930993,0,0,-30.639819295376,-30.639819827685,-30.639818606601,0,-30.639826949305,-30.639817653286,0,-30.639823245283,30.64052264696,3026.2220999746,3026.2221005536,0
0.00044125,21351844.092732,20000000,20000000,21351843.942966,21351843.865106,21351843.874855,20000000,21351843.997641,21351843.944607,20000000,21351844.05717,21351844.061921,0.00012957758713265,1.0228950469976,30.56010325192,0,0,-30.559964113625,-30.559960852867,-30.559959120269,0,-30.559950938231,-30.559966216449,0,-30.55995939171,30.560103935918,3019.9460548205,3019.9460553944,0
0.00045125,21389445.359587,20000000,20000000,21389445.193573,21389445.095516,21389445.110419,20000000,21389445.313792,21389445.269024,20000000,21389445.343631,21389445.315405,0.00013251418969764,1.0239144169297,30.483175978384,0,0,-30.482235421233,-30.482240460099,-30.482241469315,0,-30.482231743605,-30.48223755581,0,-30.482228024157,30.483173801512,3013.9213973347,3013.9213979039,0
0.00046125,21424941.717388,20000000,20000000,21424941.799589,21424941.764602,21424941.768364,20000000,21424941.714043,21424941.773261,20000000,21424941.644541,21424941.747177,0.00013545079230133,1.024932303255,30.408527499236,0,0,-30.407686432779,-30.407692813568,-30.407693198564,0,-30.407678746808,-30.407683904485,0,-30.407676945185,30.408523106848,3008.1346004562,3008.1346010209,0
0.00047125,21458427.864457,20000000,20000000,21458428.19614,21458428.160661,21458428.161663,20000000,21458427.768027,21458428.218196,20000000,21458427.856555,21458427.853492,0.00013838739484625,1.0259487846648,30.336266558074,0,0,-30.335856121364,-30.335857995336,-30.335857753175,0,-30.335862208977,-30.335857725085,0,-30.335866636342,30.3362693483,3002.5729299396,3002.5729305001,0
0.00048125,21489957.767028,20000000,20000000,21489957.976001,21489958.036749,21489958.028162,20000000,21489957.805591,21489958.041748,20000000,21489957.978928,21489957.574416,0.00014132399731255,1.0269639347496,30.267166476289,0,0,-30.265709294185,-30.265711430754,-30.265710898131,0,-30.265735556313,-30.265707590631,0,-30.265731108976,30.267162757231,2997.2243892771,2997.2243898335,0
0.00049125,21519619.084774,20000000,20000000,21519618.967738,21519618.937084,21519618.93136,20000000,21519618.944005,21519618.903128,20000000,21519619.032771,21519619.070885,0.0001442605998151,1.0279778248101,30.199493597738,0,0,-30.198524304495,-30.198520039685,-30.198522274033,0,-30.198533705085,-30.19852018992,0,-30.198524471107,30.199490008924,2992.0776692637,2992.0776698165,0
0.00050125,21547488.997748,20000000,20000000,21547488.639147,21547488.437786,21547488.440408,20000000,21547488.836617,21547488.681826,20000000,21547488.949042,21547488.909127,0.00014719720237108,1.0289905186049,30.134146429292,0,0,-30.133238007933,-30.133240033287,-30.133242126575,0,-30.133239215699,-30.133244268111,0,-30.133233667721,30.13413693798,2987.1221017572,2987.1221023067,0
0.00051125,21573602.558469,20000000,20000000,21573602.321501,21573602.590711,21573602.435931,20000000,21573602.890298,21573602.558513,20000000,21573602.525236,21573602.654783,0.00015013380498293,1.0300020792484,30.07140125324,0,0,-30.069355925037,-30.06936839473,-30.069369629654,0,-30.069343559403,-30.069355239332,0,-30.069336644871,30.071401411731,2982.3476172209,2982.3476177674,0
0.00052125,21598060.196772,20000000,20000000,21598060.543315,21598060.520149,21598060.426338,20000000,21598060.082743,21598060.527091,20000000,21598059.958171,21598060.000328,0.00015307040765892,1.0310125676907,30.009536882617,0,0,-30.008614358707,-30.008624091714,-30.008622495245,0,-30.00860070894,-30.008605813013,0,-30.00860108324,30.00952071645,2977.7447056747,2977.7447062182,0
0.00053125,21620907.648506,20000000,20000000,21620908.396669,21620908.307158,21620908.377655,20000000,21620907.467948,21620908.469834,20000000,21620907.799095,21620907.727269,0.00015600701011749,1.032022037878,29.950466621742,0,0,-29.948679750214,-29.948681006467,-29.948686271503,0,-29.948707749028,-29.948680312294,0,-29.948716245567,29.950463201849,2973.3043807195,2973.3043812601,0
0.00054125,21642178.10252,20000000,20000000,21642178.394241,21642178.386714,21642178.630747,20000000,21642178.085369,21642178.484844,20000000,21642177.976771,21642177.627522,0.00015894361253095,1.0330305441049,29.893231339997,0,0,-29.89035914224,-29.890364602439,-29.890359893965,0,-29.890415746774,-29.890354382463,0,-29.890396638836,29.893223026127,2969.0181463509,2969.018146889,0
0.00055125,21661985.629144,20000000,20000000,21661985.151613,21661984.944756,21661984.898373,20000000,21661985.30068,21661985.073315,20000000,21661985.532501,21661985.522239,0.00016188021502759,1.0340381373779,29.835901674582,0,0,-29.835132856715,-29.835132678353,-29.83512015547,0,-29.835124820199,-29.835127450634,0,-29.835150711104,29.835904474271,2964.8779663002,2964.8779668361,0
